datetime,daily_kwh,avg_voltage,avg_intensity,kitchen_kwh,laundry_kwh,other_kwh,day_of_week,month,is_weekend,rolling_3day_avg,lag_1,is_holiday
2006-12-18,36.73043333333333,241.23169444444446,6.421666666666667,1063.0,2621.0,14018.0,0,12,0,37.79701111111111,56.507666666666665,0
2006-12-19,27.7699,241.9993125,4.926388888888889,839.0,7602.0,6197.0,1,12,0,40.336,36.73043333333333,0
2006-12-20,37.0958,242.30806249999998,6.467361111111111,0.0,2648.0,14063.0,2,12,0,33.86537777777777,27.7699,0
2006-12-21,28.6104,241.04054937413073,5.033796940194716,1765.0,2623.0,10421.0,3,12,0,31.1587,37.0958,0
2006-12-22,39.0223,241.1845486111111,6.872916666666667,3151.0,350.0,11131.0,4,12,0,34.9095,28.6104,0
2006-12-23,79.55643333333333,240.1360763888889,14.028055555555557,2669.0,425.0,14726.0,5,12,1,49.063044444444444,39.0223,0
2006-12-24,42.5002,241.6874375,7.640416666666667,1703.0,5082.0,6891.0,6,12,1,53.69297777777778,79.55643333333333,0
2006-12-25,45.718666666666664,243.39993055555558,7.951527777777779,6620.0,1962.0,5795.0,0,12,0,55.92509999999999,42.5002,1
2006-12-26,65.5685,241.6254375,11.347916666666666,1086.0,2533.0,14979.0,1,12,0,51.262455555555555,45.718666666666664,0
2006-12-27,25.479333333333333,243.76736111111111,4.5175,0.0,314.0,6976.0,2,12,0,45.588833333333326,65.5685,0
2006-12-28,34.54396666666667,243.26833333333335,6.086250000000001,2207.0,4419.0,9176.0,3,12,0,41.863933333333335,25.479333333333333,0
2006-12-29,52.906533333333336,240.87130555555555,9.271388888888888,1252.0,5162.0,11329.0,4,12,0,37.643277777777776,34.54396666666667,0
2006-12-30,46.488366666666664,240.54068845618914,8.292211404728791,3072.0,7891.0,12480.0,5,12,1,44.6462888888889,52.906533333333336,0
2006-12-31,58.2366,239.8965763888889,10.199583333333333,0.0,347.0,6502.0,6,12,1,52.54383333333334,46.488366666666664,0
2007-01-01,45.81673333333333,240.12897916666665,7.916944444444444,0.0,352.0,5880.0,0,1,0,50.180566666666664,58.2366,1
2007-01-02,21.153933333333335,241.94377777777777,3.7140277777777775,0.0,348.0,6562.0,1,1,0,41.735755555555556,45.81673333333333,0
2007-01-03,16.9009,243.5570902777778,3.0140277777777778,0.0,344.0,4765.0,2,1,0,27.95718888888889,21.153933333333335,0
2007-01-04,54.32353333333333,239.7502986111111,9.478194444444444,1051.0,7597.0,10896.0,3,1,0,30.79278888888889,16.9009,0
2007-01-05,45.22273333333333,240.49576388888892,7.885138888888889,1483.0,379.0,7602.0,4,1,0,38.81572222222223,54.32353333333333,0
2007-01-06,25.139633333333332,239.67305555555555,4.543888888888889,1336.0,402.0,5678.0,5,1,1,41.56196666666666,45.22273333333333,0
2007-01-07,40.79366666666667,240.90248611111113,7.282638888888889,1987.0,8177.0,12810.0,6,1,1,37.052011111111106,25.139633333333332,0
2007-01-08,37.356,239.5769513888889,6.551666666666667,0.0,467.0,17547.0,0,1,0,34.429766666666666,40.79366666666667,0
2007-01-09,31.1509,240.48752083333335,5.521111111111111,1688.0,4267.0,9790.0,1,1,0,36.43352222222222,37.356,0
2007-01-10,35.913333333333334,241.02745138888892,6.357777777777779,771.0,4456.0,11012.0,2,1,0,34.80674444444444,31.1509,0
2007-01-11,37.58656666666667,241.1556875,6.658333333333333,1378.0,2170.0,12415.0,3,1,0,34.8836,35.913333333333334,0
2007-01-12,24.354933333333335,241.53820833333336,4.309166666666666,0.0,439.0,8276.0,4,1,0,32.618277777777784,37.58656666666667,0
2007-01-13,53.113566666666664,239.28361111111113,9.453055555555554,7806.0,2975.0,11341.0,5,1,1,38.351688888888894,24.354933333333335,0
2007-01-14,50.130266666666664,238.8218485059069,8.968311327310632,1777.0,4215.0,12975.0,6,1,1,42.53292222222222,53.113566666666664,0
2007-01-15,35.8113,241.2409097222222,6.261527777777778,1099.0,2239.0,15163.0,0,1,0,46.351711111111115,50.130266666666664,0
2007-01-16,28.106733333333334,241.94475694444446,4.975972222222222,2063.0,644.0,6583.0,1,1,0,38.0161,35.8113,0
2007-01-17,47.46146666666667,241.00525,8.283888888888889,3500.0,5737.0,16064.0,2,1,0,37.1265,28.106733333333334,0
2007-01-18,30.3577,240.89359722222224,5.3425,0.0,336.0,13491.0,3,1,0,35.30863333333334,47.46146666666667,0
2007-01-19,24.674,240.16094444444445,4.37625,2103.0,330.0,7172.0,4,1,0,34.16438888888889,30.3577,0
2007-01-20,52.22886666666667,238.8674722222222,9.348055555555556,4324.0,5222.0,11440.0,5,1,1,35.75352222222222,24.674,0
2007-01-21,56.7877,238.96811805555558,10.190694444444444,10346.0,5567.0,11599.0,6,1,1,44.563522222222225,52.22886666666667,0
2007-01-22,36.341566666666665,241.60313194444444,6.355277777777778,1054.0,2983.0,11361.0,0,1,0,48.452711111111114,56.7877,0
2007-01-23,29.627333333333333,242.76255555555556,5.260833333333333,0.0,1064.0,5061.0,1,1,0,40.918866666666666,36.341566666666665,0
2007-01-24,49.79756666666667,241.45769444444446,8.733611111111111,3464.0,2480.0,11744.0,2,1,0,38.58882222222222,29.627333333333333,0
2007-01-25,26.605733333333333,243.42436111111112,4.629305555555556,1158.0,262.0,11239.0,3,1,0,35.34354444444445,49.79756666666667,0
2007-01-26,26.9662,242.77179166666667,4.721388888888889,1163.0,261.0,8238.0,4,1,0,34.4565,26.605733333333333,0
2007-01-27,34.06786666666667,241.61656944444442,5.949861111111111,1170.0,3896.0,12374.0,5,1,1,29.21326666666667,26.9662,0
2007-01-28,51.5034,240.30478804725504,9.133703961084086,3466.0,3997.0,12045.0,6,1,1,37.51248888888889,34.06786666666667,0
2007-01-29,33.0444,240.9295972222222,5.788888888888889,1123.0,294.0,15254.0,0,1,0,39.538555555555554,51.5034,0
2007-01-30,28.4633,241.84087499999998,5.028194444444445,1123.0,1424.0,8149.0,1,1,0,37.670366666666666,33.0444,0
2007-01-31,39.39586666666667,239.92113194444443,6.923611111111111,0.0,5950.0,15052.0,2,1,0,33.63452222222222,28.4633,0
2007-02-01,30.412666666666667,240.3921388888889,5.3325000000000005,1170.0,386.0,13145.0,3,2,0,32.75727777777778,39.39586666666667,0
2007-02-02,27.7956,240.3343888888889,4.870833333333334,0.0,356.0,11338.0,4,2,0,32.534711111111115,30.412666666666667,0
2007-02-03,67.16203333333333,238.91019444444444,11.815972222222221,4746.0,4573.0,17834.0,5,2,1,41.790099999999995,27.7956,0
2007-02-04,59.93233333333333,239.63333333333333,10.565416666666668,3391.0,4597.0,14472.0,6,2,1,51.62998888888888,67.16203333333333,0
2007-02-05,27.421333333333333,240.81031249999998,4.820416666666667,896.0,2564.0,7849.0,0,2,0,51.50523333333333,59.93233333333333,0
2007-02-06,21.224666666666668,241.26415972222225,3.7719444444444448,1185.0,405.0,4517.0,1,2,0,36.19277777777778,27.421333333333333,0
2007-02-07,38.8003,241.14969444444444,6.791666666666667,3299.0,3513.0,11986.0,2,2,0,29.14876666666667,21.224666666666668,0
2007-02-08,30.023566666666667,241.79730555555554,5.248333333333334,2226.0,366.0,10157.0,3,2,0,30.016177777777774,38.8003,0
2007-02-09,27.0033,241.74044444444445,4.727222222222222,0.0,3045.0,9770.0,4,2,0,31.94238888888889,30.023566666666667,0
2007-02-10,47.15546666666667,240.0368263888889,8.303749999999999,5071.0,2831.0,14405.0,5,2,1,34.727444444444444,27.0033,0
2007-02-11,59.520466666666664,239.5061458333333,10.526805555555557,2430.0,4765.0,13114.0,6,2,1,44.55974444444445,47.15546666666667,0
2007-02-12,31.2935,240.09850000000003,5.503472222222222,2227.0,399.0,11517.0,0,2,0,45.989811111111116,59.520466666666664,0
